Search,Replacement,MatchType
On board the ship,At Sea,
Belgie,Belgium,
België,Belgium,
Belgique,Belgium,
Belguim.,Belgium,
Netherlands (Present day Belgium),Belgium,
Vlaandere,Belgium,
Boehmen Koenigreich in Bohemia,Czechia,
Dänemark,Denmark,
Kst. Dänemark,Denmark,
Europa,Europe,
Fontainbleau,France,
Fr,France,Whole Field
Francia,France,
Frankryk,France,
Greuville en Caux,France,
Mer of Menars-la-Ville Frankryk,France,
Poitiers,France,
Provence-Alpes-C,France,
Alemania,Germany,
Baden,Germany,
Bundesrepublik Deutschland,Germany,
Bündheim,Germany,
Burgsteinfurt,Germany,
Deuschland(HRR),Germany,
Deutschland,Germany,
Duitsland,Germany,
German Empire,Germany,
Heilige Roomse Rijk,Germany,
Heiliges Römisches Reich,Germany,
Holy Roman Empire,Germany,
Preussen,Germany,
Preußen,Germany,
Prss>,Germany,
Prussia,Germany,
Thr,Germany,Case Sensitive Word
Thr. germany,Germany,
Wasenberg,Germany,
Alderney,Guernsey,
Indian peninsula,India,
Weskus van Indi,India,Substring
Batavia,Indonesia,
Dutch East Indies,Indonesia,
Burma,Myanmar,
Açores,Portugal,
(\bKaap\b),South Africa,
África do Sul,South Africa,
Afrique du Sud,South Africa,
Caap de Goede Hoop Suid Afrika,South Africa,
Cabo de Goede Hoop,South Africa,
Caep de Goede Hoop,South Africa,
Cape Colony,South Africa,
Cape of Good Hope,South Africa,
Cape Province South Africa,South Africa,
de Caep de Goede Hoop,South Africa,
Dutch Cape Colony,South Africa,
Farm “Louwvliet” Rondebosch Cape Town,South Africa,
Groen Fontein,South Africa,
Kaapstad,South Africa,
Paarl,South Africa,
Roggeveld,South Africa,
Sa,South Africa,Whole Field
SA,South Africa,Whole Field
So Af,South Africa,
So. Africa,South Africa,
Soth Africa,South Africa,
Suid-Afrika,South Africa,
Swartland district,South Africa,
VOC,South Africa,Case Sensitive Word
ZA,South Africa,Whole Field
Zuid Afrika,South Africa,
Zuid-Afrika,South Africa,
Schweden,Sweden,
Schweiz,Switzerland,
Suisse,Switzerland,
Swtz,Switzerland,
Swtz.,Switzerland,
Amsterdam Netherlands,The Netherlands,
Holland,The Netherlands,
Leeuwarden,The Netherlands,
Nederland,The Netherlands,
Neth,The Netherlands,
Netherland,The Netherlands,
Netherlands,The Netherlands,
Niederlande,The Netherlands,
NL,The Netherlands,
North Holland,The Netherlands,
Of Nthr,The Netherlands,
Oost-Hinkelenpolder,The Netherlands,
Ouderkerk aan den IJssel (Verm.),The Netherlands,
Países Bajos,The Netherlands,
Pays-Bas,The Netherlands,
Renswoude,The Netherlands,
Spaanse Nederlanden,The Netherlands,
Spanish Netherlands,The Netherlands,
Zeeland Netherlands,The Netherlands,
Zuid-Holland,The Netherlands,
East Timor,Timor-Leste,
CARDINHAM CORNWALL ENG.,United Kingdom,
Cornwall,United Kingdom,
Eng,United Kingdom,Case Sensitive Word
England,United Kingdom,Whole Field
Leicestershire,United Kingdom,
London>,United Kingdom,
Northern Ireland,United Kingdom,
Reino Unido,United Kingdom,
Scot.,United Kingdom,
Scotland,United Kingdom,
UK,United Kingdom,Case Sensitive Word
Wales,United Kingdom,
Yorks. Eng.,United Kingdom,Field
Yorkshire,United Kingdom,
